No.,ISBN-13,Title
48,9781799513940,Green Arrow: Year One: The Deluxe Edition (2027 Edition)
49,9781779529916,DC Finest: Green Arrow: The Longbow Hunters
50,9781799510246,DC Finest: Green Arrow: The Trial of Oliver Queen
51,9781799500681,Green Arrow: Archer's Quest Omnibus Vol. 1
52,9781799516446,Green Arrow: Archer's Quest Omnibus Vol. 2
53,9781799508007,Green Arrow by Jeff Lemire and Andrea Sorrentino: The Deluxe Edition (New Edition)
54,9781779529527,Superman: Exile and Other Stories Omnibus
55,9781799508229,Superman: Brainiac Reborn Omnibus
56,9781799502777,Superman: The Triangle Era Omnibus Vol. 2
57,9781799508762,Superman: The Triangle Era Omnibus Vol. 3
58,9781799503217,Superman: Our Worlds at War Omnibus Vol. 1: Prelude to War!
59,9781799509585,Superman: Our Worlds at War Omnibus Vol. 2: All-Out War!
60,9781779526069,Superman by Kurt Busiek Book One
61,9781799502241,Superman by Kurt Busiek Book Two
62,9781799507376,Superman: New Krypton Saga Omnibus Vol. 1
63,9781779526236,Superman Unchained: The Deluxe Edition (2023 Edition)
64,9781799505112,Superman: Action Comics by Dan Jurgens Omnibus Vol. 1
65,9781799508533,Superman: Action Comics by Dan Jurgens Omnibus Vol. 2
66,9781779524065,Super Sons Omnibus Super Duper Edition
67,9781799502029,Superman by Phillip Kennedy Johnson Omnibus Vol. 1
68,9781799516422,Superman by Phillip Kennedy Johnson Omnibus Vol. 2
69,9781779528414,Flash by Mark Waid Omnibus Vol. 2
70,9781799507352,Flash by Mark Waid Omnibus Vol. 3
71,9781799507833,The Flash: The Road to Rebirth Omnibus
72,9781779526984,Flash by Joshua Williamson Omnibus Vol. 1
73,9781799508540,The Flash by Joshua Williamson Omnibus Vol. 3
74,9781799507635,New Teen Titans Omnibus Vol. 2 (2026 Edition)
75,9781799509776,New Teen Titans Omnibus Vol. 3 (New Edition)
76,9781799516521,New Teen Titans Omnibus Vol. 4 (2027 Edition)
77,9781799508731,The New Titans Omnibus Vol. 1
78,9781799516583,The New Titans Omnibus Vol. 2
79,9781779515452,Teen Titans by Geoff Johns Omnibus
80,9781799507925,Teen Titans by Geoff Johns Compendium One
81,9781799515272,Teen Titans by Geoff Johns Compendium Two
82,9781799507383,Titans by Tom Taylor Omnibus
83,9781799502746,Elseworlds: Batman Omnibus Vol. 1
84,9781799502456,Elseworlds: Superman Omnibus Vol. 1
85,9781799503170,Elseworlds: Justice League Omnibus Vol. 1
86,9781799516439,Elseworlds: Superman Omnibus Vol. 2
87,9781401294984,Injustice: Gods Among Us Omnibus Vol. 1
88,9781779504685,Injustice: Gods Among Us Omnibus Vol. 2
89,9781799501466,Injustice 2 Omnibus
90,9781799501855,DCeased Omnibus
